Card_Type,Name,MagStrip,DoubleSided,Card Type,New Card Type ID,Slot Punch,Overlay,Col/Col,drop ship?,Accessories,grommet,hole punch
0,1S,FALSE,FALSE,PVC White,1,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
1,1S-Mag,TRUE,FALSE,MAG STRIPE,2,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
2,2S-C/B,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
3,2S-C/B-Mag,TRUE,TRUE,MAG STRIPE,2,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
4,1S-Sig Panel,FALSE,FALSE,SIG PANEL,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
5,2S-C/B-Sig Panel,FALSE,TRUE,SIG PANEL,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
6,2S-C/C,FALSE,TRUE,PVC White,1,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
7,2S-C/C-Mag,TRUE,TRUE,MAG STRIPE,2,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
20,1S-Slot,FALSE,FALSE,PVC White,1,TRUE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
21,2S-C/B-Slot,FALSE,TRUE,PVC White,1,TRUE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
23,Dble Side LOTO with Hole Punch,FALSE,TRUE,PVC White,1,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,TRUE
24,2S-C/C-Slot,FALSE,TRUE,PVC White,1,TRUE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
25,Single Sided Plain - DROP SHIP,FALSE,FALSE,PVC White,1,FALSE,FALSE,TRUE,TRUE,NONE,FALSE,FALSE
26,Double Sided Plain - DROP SHIP,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
27,Single Sided Mag Stripe - DROP SHI,TRUE,FALSE,MAG STRIPE,2,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
28,Double Sided Mag Stripe - DROP SHIP,TRUE,TRUE,MAG STRIPE,2,FALSE,FALSE,TRUE,TRUE,NONE,FALSE,FALSE
29,2S-C/C-Grommet,FALSE,TRUE,PVC White,1,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,FALSE
30,2S-C/B-Globe,FALSE,TRUE,GLOBE HOLOGRAM,3,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
31,2S-C/C-Globe,FALSE,TRUE,GLOBE HOLOGRAM,3,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
32,2S-C/B-Globe-Slot,FALSE,TRUE,GLOBE HOLOGRAM,3,TRUE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
33,2S-C/C-Globe-Slot,FALSE,TRUE,GLOBE HOLOGRAM,3,TRUE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
35,LOTO C/C Composite Hole Punch,FALSE,TRUE,COMPOSITE,,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,TRUE
40,2S UHF RFID C/B,FALSE,TRUE,UHF RFID,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
41,2S UHF RFID C/C,FALSE,TRUE,UHF RFID,,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
42,RFID EM4100 LF Col/BW,FALSE,TRUE,EM4100 LF RFID,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
43,RFID EM4100 LF Col/Col,FALSE,TRUE,EM4100 LF RFID,,FALSE,FALSE,TRUE,FALSE,NONE,FALSE,FALSE
51,Celebrate the Children RFID,FALSE,TRUE,Celebrate the Children Prox,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
53,Dixie-Net Prox Card,FALSE,TRUE,DIXIE NET PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
54,Softeon RFID Card,FALSE,TRUE,SOFTEON PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
55,OCS Double-Sided Plain - DROP SHIP,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
56,Aragon Double-Sided Plain - DROP SHIP,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,NONE,FALSE,FALSE
60,1-Side with Overlay Laminate,FALSE,FALSE,PVC White,1,FALSE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
61,2S-C/B-OL,FALSE,TRUE,PVC White,1,FALSE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
63,2S-C/C-OL,FALSE,TRUE,PVC White,1,FALSE,TRUE,TRUE,FALSE,NONE,FALSE,FALSE
64,2S-C/B-Mag-OL,TRUE,TRUE,MAG STRIPE,2,FALSE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
65,2S-C/C-Mag-OL,TRUE,TRUE,MAG STRIPE,2,FALSE,TRUE,TRUE,FALSE,NONE,FALSE,FALSE
66,C/BW Magstripe OL Lam SLOT Punch,TRUE,TRUE,MAG STRIPE,2,TRUE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
67,CR-79 Adhesive Card 1S,FALSE,FALSE,CR-79,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
68,CR-79 Adhesive Card 1S Slot,FALSE,FALSE,CR-79,,TRUE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
101,2-side+CLIP+Hor BH-DROP SHIP,FALSE,TRUE,PVC White,1,FALSE,FALSE,TRUE,TRUE,CLIP, HOR BH,FALSE,FALSE
102,MxSecure PROX,FALSE,TRUE,MXSECURE PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
103,TransCare Corp Kastle Card,FALSE,TRUE,TRANSCARE CORP PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
105,GLC -  Clip and C H BH - DROP SHIP,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,CLIP, HOR BH,FALSE,FALSE
106,COL/BW+V-BH+ASMP LANY - DROP SHIP,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,TRUE,ASMP LAN, VERT BH,FALSE,FALSE
111,test,FALSE,TRUE,PVC White,1,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
201,USSCO Corp 26-bit PROX,FALSE,TRUE,USSCO 26-BIT PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
202,USSCO Corp 37-bit PROX,FALSE,TRUE,USSCO 37-BIT PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
219,GPC Wildwood Prox C/BW,FALSE,TRUE,GPC WILDWOOD PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
220,Genuine Auto Parts Stock C/BW,FALSE,TRUE,GENUINE AUTO PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
221,IOM Prox Card NEW YORK,FALSE,TRUE,IOM NY PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
222,Werner Merced Prox Card,FALSE,TRUE,WERNER MERCED PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
225,Sandler & Travis PROX Col/B&W,FALSE,TRUE,SANDLER & TRAVIS PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
226,Monoflo Prox Col/BW,FALSE,TRUE,MONOFLO PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
227,Werner Corp Prox Card,FALSE,TRUE,WERNER CORP PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
228,Eastern Conn PROX Col/BW,FALSE,TRUE,EASTERN CONN PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
229,The ARC Prox C/BW,FALSE,TRUE,THE ARC PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
230,Werner Tyco Badge,FALSE,TRUE,WERNER TYCO PROX,,FALSE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
231,Col/BW Holo O/L 2-side,FALSE,TRUE,GLOBE HOLOGRAM,3,TRUE,TRUE,FALSE,FALSE,NONE,FALSE,FALSE
232,Guardian Mifare Col/BW Slot-Punch,FALSE,TRUE,GUARDIAN PROX,,TRUE,FALSE,FALSE,FALSE,NONE,FALSE,FALSE
